condition,band,top1,top5,n,delta_top1,delta_top5
original,,69.0000,94.5000,200,+0.0000,+0.0000
zero_delta,delta,49.0000,77.0000,200,-20.0000,-17.5000
noise_delta,delta,52.0000,79.5000,200,-17.0000,-15.0000
zero_theta,theta,46.0000,73.0000,200,-23.0000,-21.5000
noise_theta,theta,41.0000,69.5000,200,-28.0000,-25.0000
zero_alpha,alpha,46.5000,78.5000,200,-22.5000,-16.0000
noise_alpha,alpha,49.5000,80.0000,200,-19.5000,-14.5000
zero_beta,beta,46.0000,78.0000,200,-23.0000,-16.5000
noise_beta,beta,46.5000,76.5000,200,-22.5000,-18.0000
zero_low_gamma,low_gamma,67.5000,95.0000,200,-1.5000,+0.5000
noise_low_gamma,low_gamma,66.0000,94.0000,200,-3.0000,-0.5000
zero_gamma,gamma,69.0000,95.0000,200,+0.0000,+0.5000
noise_gamma,gamma,68.5000,94.5000,200,-0.5000,+0.0000
zero_high_gamma,high_gamma,69.0000,95.5000,200,+0.0000,+1.0000
noise_high_gamma,high_gamma,68.5000,94.5000,200,-0.5000,+0.0000
