subject,top1 acc,top5 acc,best top1 acc,best top5 acc,best test loss,best epoch,seed
sub-01,50.0,82.0,53.5,82.5,1.5007,17,3407
sub-02,64.0,93.0,63.5,93.5,1.1822,30,3407
sub-03,62.5,90.0,57.5,92.0,1.2083,17,3407
sub-04,57.5,89.0,61.0,90.0,1.1897,22,3407
sub-05,56.5,86.5,56.5,86.0,1.5187,29,3407
sub-06,71.0,93.5,67.0,93.5,0.9653,40,3407
sub-07,61.0,89.5,61.5,90.5,1.2532,35,3407
sub-08,66.5,92.0,69.0,93.5,0.9939,17,3407
sub-09,60.5,89.0,60.5,89.5,1.3346,20,3407
sub-10,75.5,96.0,76.0,97.0,0.7824,43,3407
