Condition,Top1_Drop,Both_Correct,Base_Correct_Cond_Incorrect,Base_Incorrect_Cond_Correct,Both_Incorrect,p_value_raw,p_value_fdr,Significant_FDR_0.05
full_mask_all,0.69,0,138,0,62,5.739718509874451e-42,5.567526954578217e-40,True
T1_50-150ms__alpha_gaussian_noise_snr_db=-10.0,0.505,32,106,5,57,1.035239298994319e-25,5.0209106001224474e-24,True
Phase3_full_freq_T2,0.455,43,95,4,58,1.2388827013668045e-23,4.0057207344193344e-22,True
T1_50-150ms__alpha_gaussian_noise_snr_db=-5.0,0.28,70,68,12,50,1.201648635082027e-10,1.94266529338261e-09,True
Phase3_full_freq_T1,0.265,79,59,6,56,4.964650327128616e-12,1.2039277043286893e-10,True
T1_50-150ms__alpha_phase_rand_rand_ratio=1.0,0.265,78,60,7,55,1.3280368233066496e-11,2.5763914372149e-10,True
T1_50-150ms__alpha_phase_rand_rand_ratio=0.75,0.22,86,52,8,54,5.205691473372798e-09,7.213601041673734e-08,True
T1_50-150ms__alpha,0.185,95,43,6,56,5.7277652842913085e-08,6.173258139736188e-07,True
T1_50-150ms__alpha_scaling_alpha=0.0,0.185,95,43,6,56,5.7277652842913085e-08,6.173258139736188e-07,True
T1_50-150ms__beta_gaussian_noise_snr_db=-10.0,0.17,94,44,10,52,3.3856859533720747e-06,2.7367628123090935e-05,True
T1_50-150ms__alpha_phase_rand_rand_ratio=0.5,0.165,101,37,4,58,1.0258372640237212e-07,9.950621461030097e-07,True
T2_150-300ms__beta_phase_rand_rand_ratio=1.0,0.14,106,32,4,58,1.941574737429619e-06,1.7121159048243e-05,True
T1_50-150ms__alpha_scaling_alpha=0.1,0.135,105,33,6,56,1.429926123819314e-05,9.90734528646239e-05,True
T1_50-150ms__alpha_scaling_alpha=0.2,0.135,106,32,5,57,7.427530363202095e-06,5.542080347927717e-05,True
Phase3_full_freq_T3,0.115,109,29,6,56,0.0001168418675661087,0.0006296478418840303,True
T1_50-150ms__alpha_gaussian_noise_snr_db=0.0,0.115,110,28,5,57,6.618769839406013e-05,0.00042801378294825553,True
T2_150-300ms__beta,0.11,111,27,5,57,0.00011307420209050179,0.0006296478418840303,True
T2_150-300ms__beta_scaling_alpha=0.0,0.11,111,27,5,57,0.00011307420209050179,0.0006296478418840303,True
T1_50-150ms__alpha_scaling_alpha=2.0,0.095,110,28,9,53,0.0025632079923525453,0.011361468922008167,True
T2_150-300ms__beta_scaling_alpha=0.1,0.09,115,23,5,57,0.0009122341871261597,0.004424335807561875,True
T1_50-150ms__alpha_phase_rand_rand_ratio=0.25,0.085,117,21,4,58,0.0009105205535888672,0.004424335807561875,True
Phase3_full_freq_T4,0.08,115,23,7,55,0.005222879350185395,0.02110913737366597,True
T1_50-150ms__alpha_gaussian_noise_snr_db=5.0,0.075,118,20,5,57,0.004077315330505371,0.017195634219957436,True
T1_50-150ms__alpha_scaling_alpha=0.4,0.07,119,19,5,57,0.006610751152038574,0.02564971446990967,True
T2_150-300ms__beta_phase_rand_rand_ratio=0.75,0.07,118,20,6,56,0.009355306625366211,0.034902490102327786,True
T1_50-150ms__beta_phase_rand_rand_ratio=1.0,0.07,121,17,3,59,0.0025768280029296875,0.011361468922008167,True
T1_50-150ms__beta_phase_rand_rand_ratio=0.75,0.06,120,18,6,56,0.022655844688415527,0.0784863190991538,False
T2_150-300ms__beta_scaling_alpha=0.2,0.055,123,15,4,58,0.0192108154296875,0.0690166332103588,False
T2_150-300ms__beta_gaussian_noise_snr_db=-10.0,0.055,121,17,6,56,0.03468966484069824,0.10854508030799129,False
T1_50-150ms__beta,0.05,124,14,4,58,0.0308837890625,0.09985758463541666,False
T1_50-150ms__beta_scaling_alpha=0.0,0.05,124,14,4,58,0.0308837890625,0.09985758463541666,False
T2_150-300ms__beta_phase_rand_rand_ratio=0.5,0.045,124,14,5,57,0.063568115234375,0.18685173265861743,False
T1_50-150ms__beta_gaussian_noise_snr_db=-5.0,0.045,121,17,8,54,0.10775214433670044,0.29862737144742696,False
T1_50-150ms__alpha_scaling_alpha=0.6,0.04,126,12,4,58,0.076812744140625,0.219142240636489,False
T1_50-150ms__beta_phase_rand_rand_ratio=0.5,0.04,128,10,2,60,0.03857421875,0.1169281005859375,False
T2_150-300ms__theta,0.035,124,14,7,55,0.18924713134765625,0.4589242935180664,False
T2_150-300ms__alpha,0.035,127,11,4,58,0.11846923828124999,0.31920878092447913,False
T1_50-150ms__alpha_scaling_alpha=1.5,0.035,125,13,6,56,0.1670684814453125,0.437990343248522,False
T2_150-300ms__beta_scaling_alpha=2.0,0.035,123,15,8,54,0.21003961563110352,0.49692299307846444,False
T2_150-300ms__beta_scaling_alpha=0.4,0.03,128,10,4,58,0.1795654296875,0.4469150641025641,False
T3_300-500ms__delta,0.025,128,10,5,57,0.30175781249999994,0.622776761968085,False
T1_50-150ms__beta_scaling_alpha=0.1,0.025,129,9,4,58,0.266845703125,0.5752007378472223,False
T1_50-150ms__beta_scaling_alpha=0.2,0.025,129,9,4,58,0.266845703125,0.5752007378472223,False
T1_50-150ms__beta_gaussian_noise_snr_db=0.0,0.025,131,7,2,60,0.1796875,0.4469150641025641,False
T3_300-500ms__beta,0.02,132,6,2,60,0.2890625,0.6095448369565217,False
T2_150-300ms__delta,0.02,126,12,8,54,0.5034446716308594,0.9121817129629629,False
T2_150-300ms__beta_gaussian_noise_snr_db=-5.0,0.02,130,8,4,58,0.3876953125,0.7674784757653061,False
T1_50-150ms__beta_gaussian_noise_snr_db=5.0,0.02,133,5,1,61,0.21875,0.5052083333333333,False
T3_300-500ms__theta,0.015,132,6,3,59,0.5078125,0.9121817129629629,False
T3_300-500ms__alpha,0.015,134,4,1,61,0.375,0.7578125,False
T1_50-150ms__gamma,0.01,135,3,1,61,0.625,1.0,False
T3_300-500ms__high_gamma,0.01,136,2,0,62,0.5,0.9121817129629629,False
T1_50-150ms__alpha_scaling_alpha=0.8,0.01,133,5,3,59,0.7265625,1.0,False
T2_150-300ms__beta_phase_rand_rand_ratio=0.25,0.01,134,4,2,60,0.6875,1.0,False
T1_50-150ms__beta_scaling_alpha=0.8,0.01,136,2,0,62,0.5,0.9121817129629629,False
T1_50-150ms__beta_scaling_alpha=1.5,0.01,132,6,4,58,0.75390625,1.0,False
T1_50-150ms__beta_scaling_alpha=2.0,0.01,128,10,8,54,0.8145294189453125,1.0,False
T1_50-150ms__beta_phase_rand_rand_ratio=0.25,0.01,131,7,5,57,0.7744140625,1.0,False
T2_150-300ms__low_gamma,0.005,134,4,3,59,1.0,1.0,False
T1_50-150ms__high_gamma,0.005,136,2,1,61,1.0,1.0,False
T0_0-50ms__gamma,0.005,137,1,0,62,1.0,1.0,False
T4_500-800ms__alpha,0.005,136,2,1,61,1.0,1.0,False
T1_50-150ms__alpha_gaussian_noise_snr_db=20.0,0.005,135,3,2,60,1.0,1.0,False
T1_50-150ms__alpha_gaussian_noise_snr_db=10.0,0.005,134,4,3,59,1.0,1.0,False
T2_150-300ms__beta_scaling_alpha=0.6,0.005,133,5,4,58,1.0,1.0,False
T1_50-150ms__beta_scaling_alpha=0.6,0.005,136,2,1,61,1.0,1.0,False
T1_50-150ms__low_gamma,0.0,134,4,4,58,1.0,1.0,False
T2_150-300ms__gamma,0.0,137,1,1,61,1.0,1.0,False
T0_0-50ms__low_gamma,0.0,137,1,1,61,1.0,1.0,False
T3_300-500ms__gamma,0.0,135,3,3,59,1.0,1.0,False
T4_500-800ms__theta,0.0,135,3,3,59,1.0,1.0,False
T0_0-50ms__delta,0.0,138,0,0,62,1.0,1.0,False
T0_0-50ms__theta,0.0,138,0,0,62,1.0,1.0,False
T0_0-50ms__alpha,0.0,138,0,0,62,1.0,1.0,False
T1_50-150ms__delta,0.0,138,0,0,62,1.0,1.0,False
T1_50-150ms__theta,0.0,138,0,0,62,1.0,1.0,False
T4_500-800ms__high_gamma,0.0,137,1,1,61,1.0,1.0,False
random_control,0.0,138,0,0,62,1.0,1.0,False
T2_150-300ms__beta_scaling_alpha=1.5,0.0,131,7,7,55,1.0,1.0,False
T2_150-300ms__beta_gaussian_noise_snr_db=20.0,0.0,138,0,0,62,1.0,1.0,False
T2_150-300ms__beta_gaussian_noise_snr_db=10.0,0.0,137,1,1,61,1.0,1.0,False
T2_150-300ms__beta_gaussian_noise_snr_db=0.0,0.0,133,5,5,57,1.0,1.0,False
T1_50-150ms__beta_scaling_alpha=0.4,0.0,134,4,4,58,1.0,1.0,False
T1_50-150ms__beta_gaussian_noise_snr_db=20.0,0.0,138,0,0,62,1.0,1.0,False
T2_150-300ms__high_gamma,-0.005,137,1,2,60,1.0,1.0,False
T3_300-500ms__low_gamma,-0.005,137,1,2,60,1.0,1.0,False
T4_500-800ms__delta,-0.005,132,6,7,55,1.0,1.0,False
T4_500-800ms__beta,-0.005,134,4,5,57,1.0,1.0,False
full_time_gamma,-0.005,135,3,4,58,1.0,1.0,False
T2_150-300ms__beta_scaling_alpha=0.8,-0.005,137,1,2,60,1.0,1.0,False
T2_150-300ms__beta_gaussian_noise_snr_db=5.0,-0.005,136,2,3,59,1.0,1.0,False
T0_0-50ms__high_gamma,-0.01,137,1,3,59,0.625,1.0,False
