condition,perturbation,param_name,param_value,top1,top5,mean_rank,median_rank,top1_drop,top5_drop
T1_50-150ms__alpha,scaling,alpha,0.0,0.4950000047683716,0.8349999785423279,3.9100000858306885,2.0,0.195,0.11
T1_50-150ms__alpha,scaling,alpha,0.1,0.5,0.8299999833106995,3.9149999618530273,1.0,0.19,0.115
T1_50-150ms__alpha,scaling,alpha,0.2,0.5,0.8199999928474426,3.940000057220459,1.0,0.19,0.125
T1_50-150ms__alpha,scaling,alpha,0.4,0.4950000047683716,0.8050000071525574,3.984999895095825,2.0,0.195,0.14
T1_50-150ms__alpha,scaling,alpha,0.6,0.4950000047683716,0.7950000166893005,4.130000114440918,2.0,0.195,0.15
T1_50-150ms__alpha,scaling,alpha,0.8,0.48500001430511475,0.7950000166893005,4.215000152587891,2.0,0.205,0.15
T1_50-150ms__alpha,scaling,alpha,1.0,0.4650000035762787,0.7950000166893005,4.360000133514404,2.0,0.225,0.15
T1_50-150ms__alpha,scaling,alpha,1.5,0.4749999940395355,0.7900000214576721,4.494999885559082,2.0,0.215,0.155
T1_50-150ms__alpha,scaling,alpha,2.0,0.4749999940395355,0.7749999761581421,4.914999961853027,2.0,0.215,0.17
T1_50-150ms__alpha,phase_rand,rand_ratio,0.0,0.4650000035762787,0.7950000166893005,4.360000133514404,2.0,0.225,0.15
T1_50-150ms__alpha,phase_rand,rand_ratio,0.25,0.5099999904632568,0.8450000286102295,3.859999895095825,1.0,0.18,0.1
T1_50-150ms__alpha,phase_rand,rand_ratio,0.5,0.5049999952316284,0.824999988079071,4.164999961853027,1.0,0.185,0.12
T1_50-150ms__alpha,phase_rand,rand_ratio,0.75,0.46000000834465027,0.8149999976158142,4.565000057220459,2.0,0.23,0.13
T1_50-150ms__alpha,phase_rand,rand_ratio,1.0,0.49000000953674316,0.8199999928474426,4.210000038146973,2.0,0.2,0.125
T1_50-150ms__alpha,gaussian_noise,snr_db,20.0,0.4749999940395355,0.7950000166893005,4.315000057220459,2.0,0.215,0.15
T1_50-150ms__alpha,gaussian_noise,snr_db,10.0,0.4749999940395355,0.7950000166893005,4.304999828338623,2.0,0.215,0.15
T1_50-150ms__alpha,gaussian_noise,snr_db,5.0,0.4749999940395355,0.7950000166893005,4.324999809265137,2.0,0.215,0.15
T1_50-150ms__alpha,gaussian_noise,snr_db,0.0,0.49000000953674316,0.7900000214576721,4.445000171661377,2.0,0.2,0.155
T1_50-150ms__alpha,gaussian_noise,snr_db,-5.0,0.46000000834465027,0.7749999761581421,4.775000095367432,2.0,0.23,0.17
T1_50-150ms__alpha,gaussian_noise,snr_db,-10.0,0.39500001072883606,0.7450000047683716,5.659999847412109,2.0,0.295,0.2
T2_150-300ms__beta,scaling,alpha,0.0,0.5799999833106995,0.8999999761581421,2.9700000286102295,1.0,0.11,0.045
T2_150-300ms__beta,scaling,alpha,0.1,0.6000000238418579,0.9200000166893005,2.7149999141693115,1.0,0.09,0.025
T2_150-300ms__beta,scaling,alpha,0.2,0.6349999904632568,0.9300000071525574,2.4800000190734863,1.0,0.055,0.015
T2_150-300ms__beta,scaling,alpha,0.4,0.6600000262260437,0.9449999928474426,2.2850000858306885,1.0,0.03,0.0
T2_150-300ms__beta,scaling,alpha,0.6,0.6850000023841858,0.9599999785423279,2.140000104904175,1.0,0.005,-0.015
T2_150-300ms__beta,scaling,alpha,0.8,0.6949999928474426,0.949999988079071,2.075000047683716,1.0,-0.005,-0.005
T2_150-300ms__beta,scaling,alpha,1.0,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T2_150-300ms__beta,scaling,alpha,1.5,0.6899999976158142,0.925000011920929,2.2049999237060547,1.0,0.0,0.02
T2_150-300ms__beta,scaling,alpha,2.0,0.6549999713897705,0.8999999761581421,2.565000057220459,1.0,0.035,0.045
T2_150-300ms__beta,phase_rand,rand_ratio,0.0,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T2_150-300ms__beta,phase_rand,rand_ratio,0.25,0.5899999737739563,0.8999999761581421,2.734999895095825,1.0,0.1,0.045
T2_150-300ms__beta,phase_rand,rand_ratio,0.5,0.5299999713897705,0.8500000238418579,4.065000057220459,1.0,0.16,0.095
T2_150-300ms__beta,phase_rand,rand_ratio,0.75,0.5299999713897705,0.8399999737739563,3.865000009536743,1.0,0.16,0.105
T2_150-300ms__beta,phase_rand,rand_ratio,1.0,0.5350000262260437,0.8949999809265137,3.2049999237060547,1.0,0.155,0.05
T2_150-300ms__beta,gaussian_noise,snr_db,20.0,0.6899999976158142,0.9449999928474426,2.065000057220459,1.0,0.0,0.0
T2_150-300ms__beta,gaussian_noise,snr_db,10.0,0.6949999928474426,0.9449999928474426,2.049999952316284,1.0,-0.005,0.0
T2_150-300ms__beta,gaussian_noise,snr_db,5.0,0.6800000071525574,0.9350000023841858,2.140000104904175,1.0,0.01,0.01
T2_150-300ms__beta,gaussian_noise,snr_db,0.0,0.6850000023841858,0.9449999928474426,2.1449999809265137,1.0,0.005,0.0
T2_150-300ms__beta,gaussian_noise,snr_db,-5.0,0.6600000262260437,0.9350000023841858,2.384999990463257,1.0,0.03,0.01
T2_150-300ms__beta,gaussian_noise,snr_db,-10.0,0.625,0.875,2.9000000953674316,1.0,0.065,0.07
T1_50-150ms__beta,scaling,alpha,0.0,0.5450000166893005,0.8550000190734863,3.484999895095825,1.0,0.145,0.09
T1_50-150ms__beta,scaling,alpha,0.1,0.5550000071525574,0.8550000190734863,3.4000000953674316,1.0,0.135,0.09
T1_50-150ms__beta,scaling,alpha,0.2,0.5600000023841858,0.8500000238418579,3.380000114440918,1.0,0.13,0.095
T1_50-150ms__beta,scaling,alpha,0.4,0.5450000166893005,0.8450000286102295,3.444999933242798,1.0,0.145,0.1
T1_50-150ms__beta,scaling,alpha,0.6,0.5249999761581421,0.8550000190734863,3.555000066757202,1.0,0.165,0.09
T1_50-150ms__beta,scaling,alpha,0.8,0.5,0.8550000190734863,3.809999942779541,1.0,0.19,0.09
T1_50-150ms__beta,scaling,alpha,1.0,0.4650000035762787,0.7950000166893005,4.360000133514404,2.0,0.225,0.15
T1_50-150ms__beta,scaling,alpha,1.5,0.4350000023841858,0.6949999928474426,5.949999809265137,2.0,0.255,0.25
T1_50-150ms__beta,scaling,alpha,2.0,0.38999998569488525,0.6000000238418579,8.71500015258789,3.0,0.3,0.345
T1_50-150ms__beta,phase_rand,rand_ratio,0.0,0.4650000035762787,0.7950000166893005,4.360000133514404,2.0,0.225,0.15
T1_50-150ms__beta,phase_rand,rand_ratio,0.25,0.5149999856948853,0.8450000286102295,4.045000076293945,1.0,0.175,0.1
T1_50-150ms__beta,phase_rand,rand_ratio,0.5,0.5600000023841858,0.8550000190734863,3.1700000762939453,1.0,0.13,0.09
T1_50-150ms__beta,phase_rand,rand_ratio,0.75,0.5400000214576721,0.8550000190734863,3.549999952316284,1.0,0.15,0.09
T1_50-150ms__beta,phase_rand,rand_ratio,1.0,0.5350000262260437,0.8450000286102295,3.865000009536743,1.0,0.155,0.1
T1_50-150ms__beta,gaussian_noise,snr_db,20.0,0.4749999940395355,0.800000011920929,4.300000190734863,2.0,0.215,0.145
T1_50-150ms__beta,gaussian_noise,snr_db,10.0,0.48500001430511475,0.8199999928474426,4.320000171661377,2.0,0.205,0.125
T1_50-150ms__beta,gaussian_noise,snr_db,5.0,0.47999998927116394,0.7850000262260437,4.385000228881836,2.0,0.21,0.16
T1_50-150ms__beta,gaussian_noise,snr_db,0.0,0.49000000953674316,0.8100000023841858,4.320000171661377,2.0,0.2,0.135
T1_50-150ms__beta,gaussian_noise,snr_db,-5.0,0.4749999940395355,0.800000011920929,4.585000038146973,2.0,0.215,0.145
T1_50-150ms__beta,gaussian_noise,snr_db,-10.0,0.4350000023841858,0.75,6.114999771118164,2.0,0.255,0.195
