Condition,Top1_Drop,Both_Correct,Base_Correct_Cond_Incorrect,Base_Incorrect_Cond_Correct,Both_Incorrect,p_value_raw,p_value_fdr,Significant_FDR_0.05
full_mask_all,0.69,0,138,0,62,5.739718509874451e-42,3.845611401615882e-40,True
T1_50-150ms__alpha_gaussian_noise_snr_db=-10.0,0.505,32,106,5,57,1.035239298994319e-25,3.468051651630969e-24,True
Phase3_full_freq_T2,0.455,43,95,4,58,1.2388827013668045e-23,2.7668380330525304e-22,True
T1_50-150ms__alpha_gaussian_noise_snr_db=-5.0,0.28,70,68,12,50,1.201648635082027e-10,1.341840975841597e-09,True
Phase3_full_freq_T1,0.265,79,59,6,56,4.964650327128616e-12,8.315789297940432e-11,True
T1_50-150ms__alpha_phase_rand_rand_ratio=1.0,0.265,78,60,7,55,1.3280368233066496e-11,1.7795693432309106e-10,True
T1_50-150ms__alpha_phase_rand_rand_ratio=0.75,0.22,86,52,8,54,5.205691473372798e-09,4.982590410228249e-08,True
T1_50-150ms__alpha_scaling_alpha=0.0,0.185,95,43,6,56,5.7277652842913085e-08,4.797003425593971e-07,True
T1_50-150ms__beta_gaussian_noise_snr_db=-10.0,0.17,94,44,10,52,3.3856859533720747e-06,2.0621905352357182e-05,True
T1_50-150ms__alpha_phase_rand_rand_ratio=0.5,0.165,101,37,4,58,1.0258372640237212e-07,7.63678852106548e-07,True
T2_150-300ms__beta_phase_rand_rand_ratio=1.0,0.14,106,32,4,58,1.941574737429619e-06,1.3008550740778447e-05,True
T1_50-150ms__alpha_scaling_alpha=0.1,0.135,105,33,6,56,1.429926123819314e-05,7.36961925353031e-05,True
T1_50-150ms__alpha_scaling_alpha=0.2,0.135,106,32,5,57,7.427530363202095e-06,4.14703778612117e-05,True
Phase3_full_freq_T3,0.115,109,29,6,56,0.0001168418675661087,0.0004604944192311343,True
T1_50-150ms__alpha_gaussian_noise_snr_db=0.0,0.115,110,28,5,57,6.618769839406013e-05,0.0003167554137430021,True
T2_150-300ms__beta,0.11,111,27,5,57,0.00011307420209050179,0.0004604944192311343,True
T2_150-300ms__beta_scaling_alpha=0.0,0.11,111,27,5,57,0.00011307420209050179,0.0004604944192311343,True
T1_50-150ms__alpha_scaling_alpha=2.0,0.095,110,28,9,53,0.0025632079923525453,0.008221308390299479,True
T2_150-300ms__beta_scaling_alpha=0.1,0.09,115,23,5,57,0.0009122341871261597,0.0032168258177606686,True
