name,time_window,freq_band,priority,top1,top5,mean_rank,median_rank,top1_drop,top5_drop
baseline,,,control,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,,
T1_50-150ms__low_gamma,T1_50-150ms,low_gamma,5,0.6899999976158142,0.9350000023841858,2.1600000858306885,1.0,0.0,0.01
T1_50-150ms__gamma,T1_50-150ms,gamma,5,0.6800000071525574,0.9350000023841858,2.0999999046325684,1.0,0.01,0.01
T2_150-300ms__low_gamma,T2_150-300ms,low_gamma,5,0.6850000023841858,0.9449999928474426,2.1600000858306885,1.0,0.005,0.0
T2_150-300ms__gamma,T2_150-300ms,gamma,5,0.6899999976158142,0.9350000023841858,2.065000057220459,1.0,0.0,0.01
T2_150-300ms__beta,T2_150-300ms,beta,4,0.5799999833106995,0.8999999761581421,2.9700000286102295,1.0,0.11,0.045
T1_50-150ms__beta,T1_50-150ms,beta,3,0.6399999856948853,0.925000011920929,2.4700000286102295,1.0,0.05,0.02
T1_50-150ms__high_gamma,T1_50-150ms,high_gamma,3,0.6850000023841858,0.9449999928474426,2.0999999046325684,1.0,0.005,0.0
T2_150-300ms__high_gamma,T2_150-300ms,high_gamma,3,0.6949999928474426,0.9399999976158142,2.119999885559082,1.0,-0.005,0.005
T3_300-500ms__theta,T3_300-500ms,theta,3,0.675000011920929,0.9399999976158142,2.134999990463257,1.0,0.015,0.005
T3_300-500ms__alpha,T3_300-500ms,alpha,3,0.675000011920929,0.9399999976158142,2.115000009536743,1.0,0.015,0.005
T0_0-50ms__beta,T0_0-50ms,beta,2,0.7049999833106995,0.9449999928474426,2.065000057220459,1.0,-0.015,0.0
T0_0-50ms__low_gamma,T0_0-50ms,low_gamma,2,0.6899999976158142,0.949999988079071,2.075000047683716,1.0,0.0,-0.005
T0_0-50ms__gamma,T0_0-50ms,gamma,2,0.6850000023841858,0.9449999928474426,2.075000047683716,1.0,0.005,0.0
T0_0-50ms__high_gamma,T0_0-50ms,high_gamma,2,0.699999988079071,0.9449999928474426,2.0950000286102295,1.0,-0.01,0.0
T1_50-150ms__alpha,T1_50-150ms,alpha,2,0.5049999952316284,0.8050000071525574,4.574999809265137,1.0,0.185,0.14
T2_150-300ms__theta,T2_150-300ms,theta,2,0.6549999713897705,0.9300000071525574,2.180000066757202,1.0,0.035,0.015
T2_150-300ms__alpha,T2_150-300ms,alpha,2,0.6549999713897705,0.949999988079071,2.2049999237060547,1.0,0.035,-0.005
T3_300-500ms__beta,T3_300-500ms,beta,2,0.6700000166893005,0.9200000166893005,2.3299999237060547,1.0,0.02,0.025
T3_300-500ms__low_gamma,T3_300-500ms,low_gamma,2,0.6949999928474426,0.949999988079071,2.1050000190734863,1.0,-0.005,-0.005
T3_300-500ms__gamma,T3_300-500ms,gamma,2,0.6899999976158142,0.949999988079071,2.0250000953674316,1.0,0.0,-0.005
T3_300-500ms__high_gamma,T3_300-500ms,high_gamma,2,0.6800000071525574,0.949999988079071,2.069999933242798,1.0,0.01,-0.005
T4_500-800ms__theta,T4_500-800ms,theta,2,0.6899999976158142,0.9399999976158142,2.2249999046325684,1.0,0.0,0.005
T4_500-800ms__alpha,T4_500-800ms,alpha,2,0.6850000023841858,0.9399999976158142,2.2200000286102295,1.0,0.005,0.005
T0_0-50ms__delta,T0_0-50ms,delta,1,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T0_0-50ms__theta,T0_0-50ms,theta,1,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T0_0-50ms__alpha,T0_0-50ms,alpha,1,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T1_50-150ms__delta,T1_50-150ms,delta,1,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T1_50-150ms__theta,T1_50-150ms,theta,1,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
T2_150-300ms__delta,T2_150-300ms,delta,1,0.6700000166893005,0.9049999713897705,2.3550000190734863,1.0,0.02,0.04
T3_300-500ms__delta,T3_300-500ms,delta,1,0.6650000214576721,0.9200000166893005,2.2950000762939453,1.0,0.025,0.025
T4_500-800ms__delta,T4_500-800ms,delta,1,0.6949999928474426,0.9399999976158142,2.174999952316284,1.0,-0.005,0.005
T4_500-800ms__beta,T4_500-800ms,beta,1,0.6949999928474426,0.9350000023841858,2.1649999618530273,1.0,-0.005,0.01
T4_500-800ms__low_gamma,T4_500-800ms,low_gamma,1,0.7049999833106995,0.949999988079071,2.005000114440918,1.0,-0.015,-0.005
T4_500-800ms__gamma,T4_500-800ms,gamma,1,0.699999988079071,0.9449999928474426,2.059999942779541,1.0,-0.01,0.0
T4_500-800ms__high_gamma,T4_500-800ms,high_gamma,1,0.6899999976158142,0.949999988079071,2.065000057220459,1.0,0.0,-0.005
full_mask_all,T_full,all_bands,control,0.0,0.019999999552965164,97.86000061035156,97.0,0.69,0.925
random_control,T1_50-150ms,delta,control,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,0.0,0.0
full_time_gamma,T_full,gamma,control,0.6949999928474426,0.949999988079071,2.0450000762939453,1.0,-0.005,-0.005
